,Yield,BiologicalMaterial01,BiologicalMaterial02,BiologicalMaterial03,BiologicalMaterial04,BiologicalMaterial05,BiologicalMaterial06,BiologicalMaterial07,BiologicalMaterial08,BiologicalMaterial09,BiologicalMaterial10,BiologicalMaterial11,BiologicalMaterial12,ManufacturingProcess01,ManufacturingProcess02,ManufacturingProcess03,ManufacturingProcess04,ManufacturingProcess05,ManufacturingProcess06,ManufacturingProcess07,ManufacturingProcess08,ManufacturingProcess09,ManufacturingProcess10,ManufacturingProcess11,ManufacturingProcess12,ManufacturingProcess13,ManufacturingProcess14,ManufacturingProcess15,ManufacturingProcess16,ManufacturingProcess17,ManufacturingProcess18,ManufacturingProcess19,ManufacturingProcess20,ManufacturingProcess21,ManufacturingProcess22,ManufacturingProcess23,ManufacturingProcess24,ManufacturingProcess25,ManufacturingProcess26,ManufacturingProcess27,ManufacturingProcess28,ManufacturingProcess29,ManufacturingProcess30,ManufacturingProcess31,ManufacturingProcess32,ManufacturingProcess33,ManufacturingProcess34,ManufacturingProcess35,ManufacturingProcess36,ManufacturingProcess37,ManufacturingProcess38,ManufacturingProcess39,ManufacturingProcess40,ManufacturingProcess41,ManufacturingProcess42,ManufacturingProcess43,ManufacturingProcess44,ManufacturingProcess45
10,42.04,7.17,61.23,70.01,13.36,18.67,52.83,100.0,17.88,12.62,2.9,143.28,20.21,10.3,0.0,1.55,932.0,983.1,209.4,177.0,177.0,46.24,9.0,9.5,0.0,35.8,4944.0,6156.0,4690.0,35.8,4900.0,6126.0,4665.0,0.0,6.0,3.0,6.0,4925.0,6161.0,4687.0,11.5,21.9,9.4,68.7,166.0,67.0,2.5,493.0,0.019,1.5,2.0,7.0,0.0,0.0,11.0,1.0,1.9,1.8
11,42.68,7.17,61.23,70.01,13.36,18.67,52.83,100.0,17.88,12.62,2.9,143.28,20.21,10.3,0.0,1.55,930.0,992.0,209.4,178.0,178.0,46.1,8.8,9.7,0.0,35.6,4959.0,6178.0,4708.0,35.2,4878.0,6134.0,4673.0,-0.4,7.0,4.0,7.0,4924.0,6161.0,4692.0,11.5,22.0,9.4,68.6,169.0,67.0,2.5,498.0,0.018,0.3,3.0,7.0,0.0,0.0,11.2,0.8,2.0,1.8
12,43.44,7.17,61.23,70.01,13.36,18.67,52.83,100.0,17.88,12.62,2.9,143.28,20.21,10.3,0.0,1.55,934.0,1004.1,207.8,177.0,177.0,47.53,9.3,10.4,0.0,35.1,4917.0,6158.0,4704.0,35.1,4835.0,6090.0,4651.0,0.0,8.0,1.0,8.0,4888.0,6129.0,4653.0,11.4,21.7,9.9,68.4,166.0,68.0,2.4,490.0,0.018,1.1,3.0,7.1,0.0,0.0,11.1,0.8,1.9,2.4
13,40.28,7.63,60.51,69.24,17.59,20.67,52.83,100.0,18.74,13.21,4.94,158.42,21.77,11.1,0.0,1.59,934.0,1036.8,209.1,178.0,178.0,45.28,9.6,9.8,0.0,34.9,4882.0,6108.0,4655.0,35.8,4858.0,6070.0,4628.0,0.9,10.0,2.0,2.0,4911.0,6124.0,4684.0,11.1,21.5,9.4,69.1,161.0,66.0,2.4,490.0,0.019,0.6,3.0,7.4,0.0,0.0,11.7,0.6,1.7,1.9
14,41.5,6.23,62.93,69.74,11.8,20.54,54.57,100.0,18.89,12.82,2.3,152.83,22.18,11.3,0.0,,930.0,1120.7,207.8,177.0,177.0,46.44,9.4,10.2,0.0,35.3,4918.0,6156.0,4690.0,35.3,4849.0,6093.0,4646.0,0.0,11.0,3.0,15.0,4874.0,6125.0,4659.0,11.3,21.6,9.9,68.5,160.0,64.0,2.5,490.0,0.019,1.6,3.0,7.2,0.0,0.0,11.6,0.8,1.9,2.0
15,41.21,7.13,60.3,68.18,13.8,20.72,52.49,100.0,18.68,12.75,3.25,152.82,21.35,11.1,0.0,,928.0,1073.6,207.1,177.0,177.0,45.4,9.6,10.2,0.0,35.4,4805.0,6124.0,4666.0,35.5,4842.0,6091.0,4641.0,0.1,12.0,4.0,16.0,4848.0,6095.0,4630.0,11.1,21.2,10.3,68.5,166.0,66.0,2.5,493.0,0.019,1.2,3.0,7.3,0.1,0.2,11.6,1.0,1.9,2.5
16,40.89,7.85,58.22,66.95,15.38,20.86,50.84,100.0,18.51,12.7,4.01,152.82,20.7,11.1,0.0,,928.0,1027.5,205.9,177.0,177.0,45.54,9.0,10.0,0.0,35.8,4942.0,6177.0,4725.0,35.8,4858.0,6100.0,4656.0,0.0,1.0,1.0,1.0,4860.0,6100.0,4659.0,11.1,21.3,10.0,68.7,167.0,68.0,2.5,495.0,0.019,1.3,3.0,7.4,0.0,0.0,11.5,1.1,1.9,2.3
17,40.14,7.64,59.44,67.22,15.67,21.5,52.02,100.0,18.72,12.86,4.16,156.51,21.47,12.4,0.0,,930.0,1021.4,208.4,177.0,177.0,45.73,9.5,10.6,0.0,35.5,4899.0,6123.0,4692.0,35.5,4811.0,6041.0,4636.0,0.0,2.0,1.0,2.0,4815.0,6055.0,4631.0,10.8,20.9,10.6,69.0,157.0,64.0,2.5,497.0,0.02,1.1,3.0,7.4,0.0,0.0,11.7,1.7,1.8,2.2
18,39.3,7.51,59.74,67.28,15.72,21.8,52.3,100.0,18.81,12.98,4.24,158.36,21.82,12.7,0.0,,929.0,1092.2,207.5,178.0,178.0,44.46,8.9,9.8,0.0,35.5,4957.0,6181.0,4751.0,35.5,4887.0,6124.0,4710.0,0.0,3.0,2.0,3.0,4876.0,6109.0,4696.0,11.1,21.4,9.8,68.8,156.0,64.0,2.4,514.0,0.021,0.7,3.0,7.3,0.0,0.0,11.6,1.8,1.7,2.3
19,39.53,7.51,59.74,67.28,15.72,21.8,52.3,100.0,18.81,12.98,4.24,158.36,21.82,12.7,0.0,,929.0,1175.3,204.1,177.0,177.0,45.02,8.9,9.9,0.0,35.6,4961.0,6180.0,4775.0,35.6,4869.0,6094.0,4690.0,0.0,4.0,3.0,4.0,4850.0,6094.0,4665.0,11.0,21.2,10.1,68.7,155.0,62.0,2.5,490.0,0.02,1.2,2.0,7.3,0.0,0.0,11.4,1.5,1.5,2.0
20,40.22,7.51,59.74,67.28,15.72,21.8,52.3,100.0,18.81,12.98,4.24,158.36,21.82,12.7,0.0,1.56,925.0,1102.8,206.6,178.0,178.0,45.22,9.0,10.0,0.0,35.2,4949.0,6161.0,4766.0,35.2,4871.0,6108.0,4705.0,0.0,5.0,4.0,5.0,4879.0,6117.0,4696.0,11.1,21.5,9.9,68.7,157.0,63.0,2.5,495.0,0.02,0.9,3.0,7.3,0.1,0.2,11.4,2.0,1.6,2.0
21,41.18,7.08,61.83,70.69,13.43,17.72,53.27,100.0,19.14,13.38,3.02,153.1,21.9,10.9,0.0,,936.0,1024.4,218.7,178.0,178.0,47.04,,,0.0,33.2,4791.0,6026.0,4482.0,35.7,0.0,6111.0,0.0,2.5,6.0,2.0,16.0,4918.0,6152.0,4618.0,11.4,21.1,8.8,70.1,162.0,68.0,2.4,479.0,0.018,0.9,2.0,7.4,0.0,0.0,11.9,0.8,1.9,2.1
22,40.7,6.58,58.38,67.17,12.22,18.46,51.45,100.0,18.22,12.83,2.69,148.49,21.23,11.1,0.0,,937.0,997.7,209.6,177.0,177.0,46.43,,,0.0,32.9,,6002.0,0.0,36.5,4902.0,6120.0,4621.0,3.6,7.0,3.0,17.0,4906.0,6134.0,4626.0,11.2,21.0,8.9,70.1,160.0,66.0,2.4,492.0,0.019,1.5,3.0,7.4,0.0,0.0,11.6,0.8,1.9,2.4
23,41.89,6.27,56.23,64.98,11.47,18.93,50.31,100.0,17.64,12.48,2.49,145.61,20.81,11.3,0.0,,940.0,1031.3,215.1,177.0,177.0,47.09,,,0.0,33.6,4864.0,6085.0,4615.0,35.1,4847.0,6072.0,4607.0,1.5,1.0,1.0,1.0,4875.0,6095.0,4606.0,11.2,20.9,9.5,69.7,161.0,65.0,2.5,468.0,0.018,1.3,2.0,7.2,0.0,0.0,11.4,1.1,2.0,1.8
24,43.38,8.17,63.66,73.44,18.37,23.76,56.64,100.0,17.94,12.18,4.15,151.54,20.27,9.0,0.0,1.54,934.0,1007.3,209.4,178.0,178.0,47.28,11.1,9.0,0.0,33.3,4750.0,5994.0,4517.0,36.3,4887.0,6146.0,4653.0,3.0,5.0,5.0,12.0,4907.0,6150.0,4631.0,11.5,21.3,9.2,69.5,167.0,66.0,2.5,505.0,0.019,1.0,2.0,7.2,0.0,0.0,11.5,0.7,1.7,2.4
25,36.83,6.6,55.74,66.25,11.83,22.52,48.95,100.0,16.67,12.11,2.75,140.84,19.07,11.6,0.0,1.52,930.0,950.7,203.6,178.0,178.0,38.89,9.2,7.6,0.0,37.3,4840.0,5988.0,4577.0,40.0,4971.0,6114.0,4657.0,2.7,1.0,1.0,6.0,4990.0,6160.0,4693.0,11.0,21.0,7.5,71.5,161.0,65.0,2.5,500.0,0.019,0.9,3.0,6.9,0.0,0.0,11.8,0.8,1.7,2.2
26,35.25,6.9,54.26,60.99,12.22,20.16,47.23,100.0,16.57,11.73,3.06,139.52,18.62,9.2,0.0,1.53,926.0,955.8,203.0,177.0,178.0,39.02,8.4,7.5,0.0,38.0,4894.0,6022.0,4590.0,40.0,4971.0,6107.0,4675.0,2.0,2.0,2.0,7.0,4966.0,6112.0,4660.0,10.7,20.6,7.6,71.9,159.0,65.0,2.4,492.0,0.019,0.9,3.0,7.1,0.0,0.0,11.7,0.7,1.7,2.0
27,36.12,6.86,55.66,63.43,12.53,20.39,48.94,100.0,16.71,11.94,3.07,142.45,19.12,9.2,0.0,1.54,922.0,975.8,203.6,178.0,178.0,40.46,7.8,7.5,0.0,38.1,4942.0,6081.0,4645.0,39.3,4967.0,6117.0,4664.0,1.2,3.0,3.0,8.0,4961.0,6112.0,4649.0,10.7,20.5,7.6,71.8,157.0,64.0,2.5,522.0,0.021,0.9,3.0,7.4,0.0,0.0,11.6,1.3,1.7,2.2
28,38.52,6.67,63.44,76.94,14.28,21.67,58.42,100.0,17.47,13.12,3.1,158.66,21.88,9.2,0.0,1.52,924.0,986.9,206.4,177.0,177.0,42.67,7.5,7.7,0.0,38.6,5055.0,6213.0,4714.0,37.7,4960.0,6123.0,4639.0,-0.9,4.0,4.0,9.0,4966.0,6137.0,4641.0,10.8,20.7,7.6,71.7,158.0,63.0,2.5,499.0,0.02,1.9,3.0,7.3,0.1,0.2,11.7,0.8,1.7,2.2
29,38.35,6.53,61.68,77.15,11.81,21.12,59.38,100.0,17.31,12.83,2.14,154.56,22.18,10.4,0.0,1.52,921.0,1001.1,205.5,178.0,178.0,44.95,9.4,9.0,0.0,35.3,4831.0,6017.0,4556.0,35.3,4866.0,6028.0,4573.0,0.0,6.0,4.0,4.0,4863.0,6039.0,4564.0,10.6,20.1,9.0,70.9,157.0,64.0,2.5,504.0,0.02,0.7,3.0,6.8,0.0,0.0,11.6,0.5,1.9,2.2
30,39.98,6.89,61.54,76.07,12.41,21.14,57.89,100.0,17.42,12.79,2.35,153.0,21.58,10.3,0.0,1.54,928.0,1006.7,206.2,177.0,177.0,46.27,9.0,9.1,0.0,35.4,4872.0,6050.0,4585.0,35.0,4857.0,6036.0,4579.0,-0.4,7.0,1.0,5.0,4872.0,6060.0,4583.0,10.7,20.4,9.1,70.6,160.0,63.0,2.5,486.0,0.019,1.6,2.0,7.1,0.0,0.0,11.7,0.6,2.0,2.4
31,41.87,7.13,61.39,74.1,13.27,20.96,55.95,100.0,17.58,12.63,2.61,151.0,20.8,11.2,0.0,1.53,926.0,1024.0,208.2,178.0,178.0,47.08,10.7,9.5,0.0,33.5,4756.0,5972.0,4515.0,34.0,4854.0,6069.0,4600.0,0.5,8.0,2.0,6.0,4842.0,6057.0,4574.0,10.9,20.4,9.7,69.9,163.0,66.0,2.5,486.0,0.019,0.7,2.0,7.1,0.0,0.0,11.6,0.6,2.0,2.1
32,43.62,6.84,61.46,73.91,13.18,20.77,56.39,100.0,17.56,12.55,2.53,151.48,20.99,11.6,0.0,1.52,923.0,1041.2,207.3,177.0,177.0,48.77,10.1,10.5,0.0,33.4,4815.0,6033.0,4569.0,33.4,4773.0,5991.0,4521.0,0.0,9.0,3.0,7.0,4820.0,6042.0,4563.0,10.9,20.4,10.0,69.6,161.0,64.0,2.5,476.0,0.018,1.6,2.0,7.2,0.1,0.1,11.6,0.7,1.9,2.4
33,38.6,5.17,61.17,76.39,12.51,20.32,58.17,100.0,17.79,13.05,2.5,157.45,22.21,10.6,0.0,1.52,928.0,999.5,209.4,178.0,178.0,45.78,9.8,9.7,0.0,34.5,4811.0,5992.0,4578.0,34.5,4823.0,6010.0,4579.0,0.0,5.0,5.0,12.0,4829.0,6020.0,4590.0,10.6,20.1,9.7,70.3,156.0,61.0,2.5,496.0,0.02,1.1,2.0,7.5,0.1,0.1,11.6,0.5,1.8,2.3
34,39.65,7.01,61.3,72.71,13.23,24.85,54.89,100.0,17.38,12.47,2.76,149.46,20.42,11.6,0.0,1.53,925.0,1010.3,209.1,177.0,177.0,44.77,9.4,9.3,0.0,34.6,4852.0,6047.0,4852.0,34.4,4861.0,6073.0,4759.0,-0.2,3.0,3.0,16.0,4854.0,6061.0,4654.0,10.7,20.4,9.5,70.1,155.0,61.0,2.5,507.0,0.02,1.7,3.0,7.3,0.0,0.0,11.7,0.6,1.9,2.6
35,40.87,6.3,57.04,70.03,11.7,18.04,50.5,100.0,17.27,12.79,2.41,145.62,20.18,12.5,0.0,1.53,930.0,1002.4,207.5,177.0,177.0,46.65,9.7,10.0,4549.0,33.9,4844.0,6057.0,4562.0,33.1,4821.0,6033.0,4547.0,-0.8,1.0,1.0,13.0,4818.0,6041.0,4537.0,10.9,20.4,10.1,69.5,153.0,63.0,2.4,481.0,0.02,1.0,2.0,7.4,0.1,0.2,11.0,0.9,2.0,2.1
36,42.46,5.32,59.14,71.05,13.02,21.17,52.58,100.0,16.94,12.32,2.46,144.8,20.03,11.9,19.7,1.53,926.0,1019.6,206.4,178.0,178.0,46.17,9.4,10.2,4549.0,33.4,4854.0,6051.0,4595.0,32.2,4794.0,5992.0,4552.0,-1.2,3.0,2.0,2.0,4798.0,5982.0,4534.0,10.4,19.8,10.1,70.1,166.0,65.0,2.6,495.0,0.019,0.9,3.0,7.1,0.0,0.0,11.2,1.1,1.9,2.4
37,42.66,5.32,59.14,71.05,13.02,21.17,52.58,100.0,16.94,12.32,2.46,144.8,20.03,11.9,19.9,1.52,924.0,1008.6,208.7,177.0,177.0,46.38,9.7,10.0,4549.0,33.1,4825.0,6028.0,4571.0,32.6,4798.0,5986.0,4552.0,-0.5,4.0,3.0,3.0,4820.0,6006.0,4552.0,10.5,20.0,9.8,70.2,166.0,65.0,2.5,484.0,0.018,1.7,2.0,7.1,0.0,0.0,11.1,1.2,1.8,2.4
38,42.23,5.32,59.14,71.05,13.02,21.17,52.58,100.0,16.94,12.32,2.46,144.8,20.03,11.9,19.3,1.54,926.0,1014.3,208.7,178.0,178.0,45.92,9.5,10.0,4549.0,33.0,4838.0,6029.0,4593.0,32.6,4800.0,5991.0,4562.0,-0.4,5.0,4.0,4.0,4820.0,6013.0,4554.0,10.6,20.1,9.8,70.1,166.0,68.0,2.4,506.0,0.019,0.0,2.0,7.1,0.1,0.2,11.0,1.5,1.8,2.4
39,41.43,5.71,57.68,69.37,12.26,21.32,50.79,100.0,17.01,12.44,2.46,143.94,19.78,11.0,19.5,1.52,924.0,1027.0,206.6,177.0,177.0,46.77,10.2,9.8,4549.0,32.8,4806.0,6002.0,4591.0,32.8,4831.0,6027.0,4603.0,0.0,7.0,2.0,6.0,4847.0,6053.0,4607.0,10.9,20.5,9.7,69.9,160.0,65.0,2.5,488.0,0.019,0.0,2.0,7.2,0.0,0.0,11.4,1.0,1.9,2.3
40,41.47,6.6,58.8,71.17,12.4,22.14,52.24,100.0,17.21,12.77,2.58,148.28,20.33,11.3,19.3,1.52,925.0,1015.0,205.9,178.0,178.0,46.69,9.8,10.0,4549.0,33.0,4828.0,6020.0,4587.0,32.6,4815.0,6005.0,4582.0,-0.4,8.0,3.0,7.0,4837.0,6050.0,4598.0,10.9,20.4,9.8,59.8,159.0,64.0,2.5,493.0,0.019,0.0,2.0,7.2,0.0,0.0,10.9,1.0,1.9,2.2
41,42.07,6.76,55.42,69.8,11.25,18.15,49.89,100.0,17.61,13.4,2.57,151.5,20.88,10.8,22.5,1.48,936.0,954.7,211.2,177.0,177.0,45.95,11.1,10.5,4549.0,32.8,4713.0,5904.0,4467.0,32.8,4750.0,5927.0,4497.0,0.0,1.0,1.0,1.0,4784.0,5974.0,4543.0,10.3,19.6,10.1,70.3,157.0,61.0,2.6,509.0,0.02,1.1,3.0,7.4,0.0,0.0,11.4,0.7,1.8,2.4
42,44.35,6.76,55.42,69.8,11.25,18.15,49.89,100.0,17.61,13.4,2.57,151.5,20.88,10.8,20.5,1.53,923.0,954.0,210.0,178.0,177.0,46.66,8.1,8.9,4549.0,33.3,4934.0,6110.0,4635.0,32.5,4873.0,6058.0,4598.0,-0.8,2.0,2.0,2.0,4900.0,6089.0,4617.0,10.8,20.5,8.6,70.8,163.0,64.0,2.5,498.0,0.019,0.9,3.0,7.3,0.1,0.1,11.4,0.7,2.0,2.4
43,44.16,6.76,55.42,69.8,11.25,18.15,49.89,100.0,17.61,13.4,2.57,151.5,20.88,10.8,21.5,1.55,930.0,969.3,208.7,177.0,178.0,47.33,9.3,9.3,4549.0,32.5,4836.0,6014.0,4564.0,32.3,4844.0,6032.0,4577.0,-0.2,3.0,3.0,3.0,4869.0,6061.0,4603.0,10.7,20.3,9.0,70.7,160.0,63.0,2.5,501.0,0.02,1.0,3.0,7.1,0.0,0.0,11.0,0.7,1.8,2.4
44,43.33,6.77,58.76,72.74,12.12,20.65,53.17,100.0,17.59,13.31,2.61,154.06,21.31,11.4,20.5,1.56,928.0,980.3,208.2,178.0,178.0,46.78,9.0,8.8,4549.0,32.8,4869.0,6061.0,4583.0,32.3,4905.0,6117.0,4635.0,-0.5,4.0,4.0,4.0,4885.0,6098.0,4611.0,11.0,20.6,8.9,70.4,162.0,64.0,2.5,490.0,0.019,0.3,2.0,7.1,0.0,0.0,10.5,0.9,1.8,2.1
45,42.61,6.95,60.31,73.97,12.42,19.05,52.31,100.0,17.64,13.28,2.75,151.21,20.75,12.2,20.5,1.5,926.0,986.4,208.7,177.0,177.0,46.48,8.5,9.2,4549.0,33.2,4914.0,6108.0,4594.0,32.4,4850.0,6025.0,4535.0,-0.8,5.0,5.0,5.0,4854.0,6034.0,4547.0,10.6,20.0,9.1,70.9,165.0,65.0,2.5,490.0,0.019,1.2,3.0,7.0,0.0,0.0,10.7,0.7,1.8,2.3
46,42.96,6.95,60.31,73.97,12.42,19.05,52.31,100.0,17.64,13.28,2.75,151.21,20.75,12.2,20.5,1.5,925.0,977.8,227.4,178.0,178.0,46.03,9.4,9.1,4549.0,32.6,4833.0,6009.0,4521.0,32.6,4853.0,6027.0,4538.0,0.0,6.0,6.0,6.0,4864.0,6056.0,4556.0,10.7,20.2,9.0,70.7,168.0,65.0,2.6,492.0,0.018,0.7,3.0,7.4,0.0,0.0,11.1,1.1,1.8,2.1
47,43.84,6.95,60.31,73.97,12.42,19.05,52.31,100.0,17.64,13.28,2.75,151.21,20.75,12.2,20.0,1.56,927.0,1006.4,210.7,177.0,177.0,48.11,8.9,9.9,4549.0,32.6,4883.0,6146.0,4533.0,31.3,4812.0,6082.0,4484.0,-1.3,7.0,1.0,7.0,4816.0,6086.0,4481.0,11.0,20.2,9.9,69.9,164.0,69.0,2.4,493.0,0.019,1.8,3.0,6.7,0.1,0.1,11.6,1.4,1.8,2.4
48,46.34,7.97,64.75,74.1,15.11,22.66,56.22,100.0,18.82,12.76,3.18,157.34,21.33,11.7,18.0,1.52,921.0,1002.4,209.8,177.0,178.0,47.45,9.5,9.6,4549.0,32.1,4855.0,6077.0,4563.0,31.5,4836.0,6055.0,4551.0,-0.6,9.0,3.0,9.0,4850.0,6099.0,4548.0,11.2,20.7,9.6,69.7,167.0,68.0,2.4,490.0,0.018,0.6,3.0,7.3,0.0,0.0,11.6,1.3,1.8,2.1
49,39.74,6.94,57.02,69.51,13.45,18.44,50.16,100.0,17.55,12.83,3.09,149.6,20.25,10.4,19.0,1.52,923.0,971.2,207.8,178.0,178.0,44.65,8.9,9.1,4549.0,33.9,4852.0,6013.0,4518.0,33.6,4849.0,6015.0,4525.0,-0.3,10.0,4.0,10.0,4866.0,6045.0,4531.0,10.6,20.0,8.8,71.2,170.0,68.0,2.5,490.0,0.018,0.8,3.0,7.3,0.0,0.0,11.6,0.9,1.8,2.0
50,41.12,6.94,57.02,69.51,13.45,18.44,50.16,100.0,17.55,12.83,3.09,149.6,20.25,10.4,18.0,1.53,918.0,977.6,204.8,177.0,177.0,46.47,8.9,9.4,4549.0,33.4,4869.0,6043.0,4547.0,32.8,4827.0,6014.0,4526.0,-0.6,11.0,5.0,11.0,4846.0,6032.0,4521.0,10.6,20.0,9.2,70.8,169.0,67.0,2.5,504.0,0.019,1.3,3.0,7.1,0.0,0.0,11.4,2.5,1.8,2.1
51,40.14,6.94,57.02,69.51,13.45,18.44,50.16,100.0,17.55,12.83,3.09,149.6,20.25,10.4,19.5,1.54,926.0,989.2,206.4,178.0,178.0,47.33,8.7,11.0,4549.0,33.8,4874.0,6049.0,4551.0,33.1,4701.0,5890.0,4392.0,-0.7,12.0,6.0,12.0,4721.0,5901.0,4416.0,10.0,18.9,10.8,70.2,162.0,65.0,2.5,496.0,0.019,0.4,3.0,7.1,0.1,0.2,11.4,1.0,1.8,2.2
