,Age,Education,Occupation,Relationship,Race,Sex,Target
151,34,HS-grad,Adm-clerical,Not-in-family,White,Female,<=50K
152,33,Bachelors,Exec-managerial,Other-relative,Asian-Pac-Islander,Female,<=50K
153,21,HS-grad,Craft-repair,Own-child,White,Male,<=50K
154,52,HS-grad,?,Not-in-family,White,Male,>50K
155,48,HS-grad,Craft-repair,Husband,White,Male,<=50K
156,23,Bachelors,Handlers-cleaners,Not-in-family,White,Male,<=50K
157,71,Some-college,Sales,Unmarried,Black,Male,<=50K
158,29,HS-grad,Craft-repair,Not-in-family,White,Male,<=50K
159,42,Bachelors,Other-service,Other-relative,Black,Male,<=50K
160,68,1st-4th,?,Not-in-family,White,Female,<=50K
161,25,HS-grad,Other-service,Unmarried,White,Female,<=50K
162,44,Masters,Exec-managerial,Unmarried,Asian-Pac-Islander,Female,<=50K
163,28,HS-grad,Exec-managerial,Not-in-family,Asian-Pac-Islander,Female,<=50K
164,45,Masters,Sales,Husband,White,Male,>50K
165,36,Some-college,Other-service,Unmarried,White,Female,<=50K
166,39,Assoc-acdm,Exec-managerial,Not-in-family,White,Male,<=50K
167,46,Masters,Protective-serv,Unmarried,White,Male,<=50K
168,18,11th,Handlers-cleaners,Own-child,White,Male,<=50K
169,66,Assoc-voc,Prof-specialty,Not-in-family,White,Female,<=50K
170,27,HS-grad,Other-service,Not-in-family,White,Male,<=50K
171,28,HS-grad,Protective-serv,Husband,White,Male,<=50K
172,51,Some-college,Sales,Husband,White,Male,>50K
173,27,Bachelors,Craft-repair,Not-in-family,White,Male,<=50K
174,28,Bachelors,Prof-specialty,Husband,White,Male,>50K
175,27,HS-grad,Sales,Unmarried,White,Female,<=50K
176,21,HS-grad,Craft-repair,Own-child,Black,Male,<=50K
177,34,HS-grad,Handlers-cleaners,Not-in-family,Black,Male,<=50K
178,18,HS-grad,Other-service,Own-child,White,Male,<=50K
179,33,Bachelors,Prof-specialty,Husband,White,Male,<=50K
180,44,Some-college,Exec-managerial,Husband,Black,Male,>50K
181,43,Some-college,Adm-clerical,Not-in-family,White,Female,<=50K
182,30,Some-college,Craft-repair,Not-in-family,Black,Male,<=50K
183,40,7th-8th,Machine-op-inspct,Husband,White,Male,>50K
184,37,Some-college,Adm-clerical,Husband,White,Male,>50K
185,34,HS-grad,Adm-clerical,Husband,Black,Male,<=50K
186,41,Bachelors,Exec-managerial,Not-in-family,White,Female,<=50K
187,53,Bachelors,?,Not-in-family,White,Female,<=50K
188,31,Masters,Prof-specialty,Wife,White,Female,<=50K
189,58,Doctorate,Prof-specialty,Husband,White,Male,>50K
190,38,Some-college,Machine-op-inspct,Not-in-family,Black,Female,<=50K
191,24,Some-college,Machine-op-inspct,Husband,White,Male,<=50K
192,41,Bachelors,Craft-repair,Husband,Black,Male,<=50K
193,47,Some-college,Tech-support,Husband,White,Male,<=50K
194,41,Bachelors,Tech-support,Husband,White,Male,<=50K
195,23,5th-6th,Transport-moving,Other-relative,White,Male,<=50K
196,36,Some-college,Craft-repair,Not-in-family,White,Male,<=50K
197,40,Masters,Exec-managerial,Not-in-family,White,Female,>50K
198,35,Masters,Prof-specialty,Other-relative,White,Male,>50K
199,24,HS-grad,Sales,Not-in-family,White,Male,<=50K
200,26,Masters,Prof-specialty,Not-in-family,White,Female,<=50K
201,19,HS-grad,?,Own-child,White,Male,<=50K
202,51,Bachelors,Exec-managerial,Husband,White,Male,>50K
203,42,Some-college,Prof-specialty,Not-in-family,White,Female,<=50K
204,37,HS-grad,Adm-clerical,Unmarried,White,Female,<=50K
205,18,11th,Sales,Own-child,White,Female,<=50K
206,36,Bachelors,Other-service,Husband,Black,Male,>50K
207,35,HS-grad,Craft-repair,Not-in-family,White,Male,<=50K
208,58,HS-grad,Sales,Wife,White,Female,>50K
209,17,11th,Sales,Own-child,White,Female,<=50K
210,44,HS-grad,Transport-moving,Husband,Black,Male,<=50K
211,37,HS-grad,Craft-repair,Husband,White,Male,>50K
212,35,Some-college,Sales,Not-in-family,Amer-Indian-Eskimo,Female,<=50K
213,60,HS-grad,Craft-repair,Husband,Asian-Pac-Islander,Male,<=50K
214,54,7th-8th,Machine-op-inspct,Husband,White,Male,>50K
215,37,Bachelors,Exec-managerial,Not-in-family,Black,Male,>50K
216,50,Assoc-acdm,Sales,Not-in-family,White,Female,<=50K
217,38,Bachelors,Sales,Husband,White,Male,<=50K
218,45,Bachelors,Prof-specialty,Husband,White,Male,<=50K
219,25,10th,Craft-repair,Not-in-family,White,Male,<=50K
220,31,Some-college,Handlers-cleaners,Husband,White,Male,<=50K
221,64,1st-4th,?,Not-in-family,White,Male,<=50K
222,90,HS-grad,Other-service,Not-in-family,Black,Male,<=50K
223,54,HS-grad,Adm-clerical,Husband,Black,Male,<=50K
224,53,Preschool,Machine-op-inspct,Not-in-family,White,Female,<=50K
225,18,HS-grad,Sales,Own-child,White,Female,<=50K
226,60,10th,?,Not-in-family,Amer-Indian-Eskimo,Female,<=50K
227,66,HS-grad,Farming-fishing,Husband,White,Male,<=50K
228,75,Assoc-voc,Adm-clerical,Not-in-family,White,Female,<=50K
229,65,HS-grad,Adm-clerical,Not-in-family,White,Female,<=50K
230,35,11th,Transport-moving,Not-in-family,Black,Male,<=50K
231,41,HS-grad,Sales,Unmarried,Black,Female,<=50K
232,25,Some-college,Adm-clerical,Not-in-family,White,Male,<=50K
233,33,Some-college,Craft-repair,Other-relative,Other,Female,<=50K
234,28,Prof-school,Prof-specialty,Not-in-family,White,Male,>50K
235,59,HS-grad,Other-service,Husband,White,Male,<=50K
236,40,Some-college,Adm-clerical,Not-in-family,White,Female,<=50K
237,41,Bachelors,Exec-managerial,Husband,White,Male,>50K
238,38,Masters,Exec-managerial,Husband,White,Male,>50K
239,23,HS-grad,Transport-moving,Own-child,White,Male,<=50K
240,40,Bachelors,Prof-specialty,Husband,White,Male,>50K
241,41,HS-grad,Other-service,Wife,White,Female,<=50K
242,24,Assoc-acdm,Protective-serv,Husband,White,Male,<=50K
243,20,Some-college,?,Own-child,White,Male,<=50K
244,38,Some-college,Craft-repair,Not-in-family,White,Male,<=50K
245,56,HS-grad,Adm-clerical,Husband,White,Male,<=50K
246,58,HS-grad,Adm-clerical,Husband,White,Male,>50K
247,32,HS-grad,Other-service,Not-in-family,White,Female,<=50K
248,40,Assoc-acdm,Tech-support,Husband,White,Male,>50K
249,45,HS-grad,Adm-clerical,Husband,White,Male,<=50K
250,41,Prof-school,Prof-specialty,Wife,White,Female,>50K
251,42,Bachelors,Adm-clerical,Wife,Black,Female,<=50K
252,59,10th,Other-service,Unmarried,Black,Female,<=50K
253,19,Some-college,Adm-clerical,Own-child,White,Male,<=50K
254,58,Some-college,Transport-moving,Not-in-family,White,Male,<=50K
255,42,HS-grad,Farming-fishing,Husband,Asian-Pac-Islander,Male,>50K
256,20,HS-grad,Other-service,Own-child,White,Female,<=50K
257,32,HS-grad,Other-service,Not-in-family,White,Female,<=50K
258,45,Assoc-voc,Exec-managerial,Not-in-family,White,Female,<=50K
259,50,7th-8th,Craft-repair,Not-in-family,White,Male,<=50K
260,36,Bachelors,Prof-specialty,Own-child,White,Female,<=50K
261,45,HS-grad,Sales,Husband,White,Male,<=50K
262,17,11th,Other-service,Own-child,White,Male,<=50K
263,59,Some-college,Sales,Husband,White,Male,<=50K
264,26,11th,Craft-repair,Husband,White,Male,<=50K
265,37,Some-college,Exec-managerial,Husband,Asian-Pac-Islander,Male,>50K
266,19,Some-college,?,Own-child,White,Male,<=50K
267,64,HS-grad,Exec-managerial,Husband,White,Male,>50K
268,33,Bachelors,Prof-specialty,Not-in-family,White,Female,<=50K
269,33,HS-grad,Craft-repair,Wife,White,Female,>50K
270,61,HS-grad,Exec-managerial,Husband,White,Male,>50K
271,17,9th,Other-service,Own-child,White,Male,<=50K
272,50,Masters,Farming-fishing,Husband,White,Male,<=50K
273,27,Masters,Prof-specialty,Own-child,White,Male,<=50K
274,30,HS-grad,Prof-specialty,Own-child,White,Female,<=50K
275,43,HS-grad,Handlers-cleaners,Husband,Black,Male,<=50K
276,44,Some-college,Craft-repair,Husband,White,Male,>50K
277,35,Some-college,Exec-managerial,Not-in-family,White,Female,<=50K
278,25,Some-college,Tech-support,Own-child,White,Female,<=50K
279,24,Some-college,Machine-op-inspct,Wife,White,Female,>50K
280,22,Bachelors,Prof-specialty,Not-in-family,White,Female,<=50K
281,42,Some-college,Craft-repair,Husband,White,Male,>50K
282,34,Assoc-acdm,Sales,Unmarried,Black,Female,<=50K
283,60,Bachelors,Prof-specialty,Not-in-family,White,Female,<=50K
284,21,HS-grad,Handlers-cleaners,Own-child,White,Male,<=50K
285,57,Masters,Sales,Husband,White,Male,>50K
286,41,Prof-school,Prof-specialty,Husband,White,Male,>50K
287,50,Some-college,Other-service,Not-in-family,White,Male,<=50K
288,25,Bachelors,Exec-managerial,Not-in-family,White,Female,<=50K
289,50,7th-8th,Craft-repair,Husband,White,Male,<=50K
290,36,Bachelors,Prof-specialty,Husband,White,Male,<=50K
291,31,HS-grad,Prof-specialty,Not-in-family,White,Female,<=50K
292,29,Bachelors,Protective-serv,Not-in-family,White,Male,<=50K
293,21,Some-college,Sales,Own-child,White,Male,<=50K
294,27,Bachelors,Tech-support,Unmarried,Black,Female,<=50K
295,65,HS-grad,Transport-moving,Husband,White,Male,<=50K
296,37,Bachelors,Sales,Not-in-family,White,Female,<=50K
297,39,Masters,?,Wife,Asian-Pac-Islander,Female,<=50K
298,24,HS-grad,Craft-repair,Own-child,White,Male,<=50K
299,38,HS-grad,Sales,Not-in-family,White,Male,<=50K
300,48,Bachelors,Adm-clerical,Husband,White,Male,>50K
301,21,Some-college,Other-service,Not-in-family,Asian-Pac-Islander,Female,<=50K
302,31,HS-grad,Transport-moving,Husband,White,Male,>50K
303,55,HS-grad,Sales,Husband,White,Male,>50K
304,24,Some-college,Adm-clerical,Wife,Asian-Pac-Islander,Female,<=50K
305,43,HS-grad,Adm-clerical,Not-in-family,White,Female,<=50K
306,26,Assoc-acdm,Tech-support,Not-in-family,White,Male,<=50K
307,46,Assoc-acdm,Prof-specialty,Not-in-family,White,Female,<=50K
308,35,Assoc-acdm,Adm-clerical,Husband,White,Male,>50K
309,41,Some-college,Farming-fishing,Husband,White,Male,>50K
310,26,Bachelors,Sales,Not-in-family,White,Male,<=50K
311,34,Masters,Exec-managerial,Husband,Asian-Pac-Islander,Male,>50K
312,19,Some-college,?,Own-child,Black,Female,<=50K
313,36,Bachelors,Prof-specialty,Not-in-family,Black,Female,>50K
314,22,Some-college,Sales,Own-child,White,Male,<=50K
315,24,Some-college,Machine-op-inspct,Not-in-family,White,Male,<=50K
316,77,Some-college,Sales,Husband,White,Male,<=50K
317,22,5th-6th,Machine-op-inspct,Other-relative,White,Female,<=50K
318,29,Some-college,Tech-support,Not-in-family,White,Female,<=50K
319,62,HS-grad,Other-service,Not-in-family,White,Female,<=50K
320,39,HS-grad,Exec-managerial,Husband,White,Male,<=50K
321,43,Some-college,Craft-repair,Husband,White,Male,<=50K
322,35,HS-grad,Transport-moving,Not-in-family,White,Male,<=50K
323,29,11th,Exec-managerial,Not-in-family,White,Female,<=50K
324,76,Masters,Craft-repair,Husband,White,Male,<=50K
325,63,HS-grad,Farming-fishing,Husband,White,Male,<=50K
326,23,Assoc-voc,?,Own-child,Black,Female,<=50K
327,43,Some-college,Prof-specialty,Wife,White,Female,>50K
328,58,HS-grad,Handlers-cleaners,Husband,White,Male,<=50K
329,66,HS-grad,Transport-moving,Not-in-family,White,Male,<=50K
330,41,Some-college,Craft-repair,Not-in-family,Black,Male,<=50K
331,26,Bachelors,Adm-clerical,Not-in-family,White,Male,<=50K
332,47,Assoc-voc,Other-service,Not-in-family,White,Male,<=50K
333,55,10th,Adm-clerical,Husband,White,Male,<=50K
334,53,HS-grad,Transport-moving,Husband,White,Male,<=50K
335,17,5th-6th,Other-service,Other-relative,White,Male,<=50K
336,30,HS-grad,Craft-repair,Other-relative,White,Male,<=50K
337,49,Masters,Prof-specialty,Not-in-family,White,Male,<=50K
338,19,HS-grad,Sales,Unmarried,Black,Male,<=50K
339,45,HS-grad,Other-service,Husband,Black,Male,<=50K
340,26,Assoc-acdm,Sales,Not-in-family,White,Male,<=50K
341,38,Assoc-voc,Craft-repair,Husband,White,Male,>50K
342,36,HS-grad,Protective-serv,Husband,White,Male,>50K
343,33,HS-grad,Farming-fishing,Not-in-family,White,Male,<=50K
344,22,Some-college,Protective-serv,Own-child,Black,Female,<=50K
345,43,Bachelors,Sales,Not-in-family,White,Male,<=50K
346,67,11th,?,Husband,White,Male,<=50K
347,30,Assoc-voc,?,Unmarried,White,Female,<=50K
348,56,Assoc-acdm,Other-service,Not-in-family,White,Male,<=50K
349,31,Bachelors,Prof-specialty,Own-child,White,Male,<=50K
350,33,Bachelors,Exec-managerial,Husband,White,Male,>50K
351,26,HS-grad,Other-service,Husband,White,Male,<=50K
352,33,Bachelors,Exec-managerial,Husband,White,Male,>50K
353,46,11th,Transport-moving,Husband,White,Male,<=50K
354,59,Bachelors,?,Husband,White,Male,>50K
355,38,HS-grad,Adm-clerical,Husband,White,Male,>50K
356,65,11th,Other-service,Unmarried,Other,Male,<=50K
357,40,Assoc-voc,Tech-support,Husband,White,Male,>50K
358,42,HS-grad,Adm-clerical,Wife,White,Female,<=50K
359,26,9th,Craft-repair,Husband,White,Male,<=50K
360,36,10th,Other-service,Wife,White,Female,<=50K
361,62,Masters,Prof-specialty,Husband,White,Male,>50K
362,43,Bachelors,Transport-moving,Husband,White,Male,<=50K
363,43,Bachelors,Exec-managerial,Not-in-family,White,Male,>50K
364,22,HS-grad,Sales,Not-in-family,White,Male,<=50K
365,28,HS-grad,Craft-repair,Husband,White,Male,<=50K
366,56,Some-college,Sales,Husband,White,Male,<=50K
367,22,Assoc-acdm,Sales,Not-in-family,White,Female,<=50K
368,57,Bachelors,Exec-managerial,Not-in-family,White,Female,>50K
369,39,HS-grad,Sales,Unmarried,White,Female,<=50K
370,26,Some-college,Adm-clerical,Unmarried,White,Female,<=50K
371,17,11th,Other-service,Own-child,White,Male,<=50K
372,40,Assoc-voc,Machine-op-inspct,Husband,White,Male,>50K
373,45,HS-grad,Machine-op-inspct,Husband,Black,Male,<=50K
374,44,HS-grad,Craft-repair,Not-in-family,Black,Male,<=50K
375,20,Some-college,Adm-clerical,Own-child,White,Female,<=50K
376,33,HS-grad,Craft-repair,Wife,White,Female,<=50K
377,23,Some-college,Sales,Not-in-family,White,Male,<=50K
378,46,Masters,Exec-managerial,Not-in-family,White,Male,<=50K
379,38,HS-grad,Sales,Husband,White,Male,<=50K
380,54,HS-grad,Transport-moving,Not-in-family,White,Male,<=50K
381,46,5th-6th,Craft-repair,Not-in-family,White,Female,<=50K
382,25,Some-college,Craft-repair,Husband,White,Male,<=50K
383,46,Some-college,Sales,Not-in-family,White,Female,<=50K
384,36,Some-college,Transport-moving,Wife,White,Female,<=50K
385,23,HS-grad,Other-service,Not-in-family,White,Female,<=50K
386,29,HS-grad,Machine-op-inspct,Not-in-family,White,Male,<=50K
387,44,Some-college,Adm-clerical,Wife,White,Female,>50K
388,19,Some-college,Adm-clerical,Own-child,White,Female,<=50K
389,19,HS-grad,Other-service,Other-relative,White,Female,<=50K
390,35,HS-grad,Other-service,Wife,White,Female,>50K
391,27,Bachelors,Craft-repair,Not-in-family,White,Male,<=50K
392,46,Assoc-acdm,Craft-repair,Not-in-family,White,Male,<=50K
393,34,Bachelors,Exec-managerial,Husband,White,Male,>50K
394,34,HS-grad,Other-service,Not-in-family,White,Female,<=50K
395,44,Some-college,Tech-support,Husband,White,Male,<=50K
396,45,Some-college,Handlers-cleaners,Unmarried,White,Female,<=50K
397,20,HS-grad,?,Other-relative,White,Female,<=50K
398,25,Bachelors,Exec-managerial,Husband,White,Male,>50K
399,52,Bachelors,Exec-managerial,Husband,White,Male,>50K
400,20,Some-college,Handlers-cleaners,Own-child,White,Male,<=50K
401,28,Some-college,Other-service,Not-in-family,White,Female,<=50K
402,50,Bachelors,Protective-serv,Husband,White,Male,>50K
403,34,Assoc-voc,Tech-support,Not-in-family,White,Female,<=50K
404,28,7th-8th,Handlers-cleaners,Husband,Other,Male,<=50K
405,41,Masters,Exec-managerial,Husband,White,Male,>50K
406,28,HS-grad,Adm-clerical,Husband,White,Male,<=50K
407,46,HS-grad,Craft-repair,Husband,White,Male,<=50K
408,28,Some-college,?,Wife,White,Female,>50K
409,32,Some-college,Exec-managerial,Husband,White,Male,<=50K
410,41,Some-college,Other-service,Not-in-family,Black,Female,<=50K
411,24,HS-grad,Handlers-cleaners,Unmarried,Black,Female,<=50K
412,33,Some-college,Exec-managerial,Unmarried,White,Female,<=50K
413,46,Doctorate,Exec-managerial,Husband,White,Male,>50K
414,31,Some-college,Machine-op-inspct,Husband,White,Male,<=50K
415,35,12th,Craft-repair,Not-in-family,White,Male,>50K
416,52,1st-4th,Machine-op-inspct,Husband,White,Male,<=50K
417,30,11th,Other-service,Own-child,White,Female,<=50K
418,34,11th,Machine-op-inspct,Not-in-family,Black,Male,<=50K
419,34,HS-grad,Transport-moving,Unmarried,White,Female,<=50K
420,20,Some-college,Sales,Husband,White,Male,<=50K
421,17,11th,Handlers-cleaners,Own-child,White,Male,<=50K
422,32,Bachelors,Exec-managerial,Wife,White,Female,>50K
423,29,HS-grad,Farming-fishing,Not-in-family,White,Male,<=50K
424,33,10th,Craft-repair,Unmarried,White,Female,<=50K
425,25,HS-grad,Transport-moving,Husband,White,Male,<=50K
426,36,Masters,Prof-specialty,Not-in-family,White,Male,<=50K
427,23,HS-grad,Handlers-cleaners,Not-in-family,White,Male,<=50K
428,63,HS-grad,Exec-managerial,Husband,White,Male,>50K
429,47,Masters,Prof-specialty,Husband,White,Male,<=50K
430,80,HS-grad,?,Not-in-family,White,Male,<=50K
431,17,11th,?,Own-child,White,Male,<=50K
432,40,Bachelors,Prof-specialty,Not-in-family,White,Female,<=50K
433,30,Assoc-acdm,Other-service,Wife,White,Female,>50K
434,27,Some-college,Craft-repair,Own-child,Asian-Pac-Islander,Male,<=50K
435,33,Masters,Prof-specialty,Husband,White,Male,>50K
436,34,HS-grad,Farming-fishing,Not-in-family,Black,Male,<=50K
